player,prop,book_line,direction,model_prediction,edge,actual_value,result
Karl-Anthony Towns,PTS,20.5,UNDER,18.438,-2.062000000000001,20.0,WIN
Jordan Poole,PTS,11.5,UNDER,9.35,-2.1500000000000004,21.0,LOSS
De'Anthony Melton,PTS,11.0,UNDER,8.761,-2.2390000000000008,10.0,WIN
Brandin Podziemski,PTS,10.0,UNDER,7.758,-2.242,3.0,WIN
Bam Adebayo,PTS,13.5,UNDER,11.164,-2.3360000000000003,6.0,WIN
Cam Spencer,PTS,13.5,UNDER,11.135,-2.365,12.0,WIN
Reed Sheppard,PTS,13.5,UNDER,11.042,-2.458,6.0,WIN
Victor Wembanyama,PTS,20.5,UNDER,18.024,-2.475999999999999,29.0,LOSS
Norman Powell,PTS,20.5,UNDER,18.007,-2.4929999999999986,0.0,WIN
Spencer Jones,PTS,7.5,UNDER,4.925,-2.575,5.0,WIN
Paolo Banchero,PTS,23.5,UNDER,20.767,-2.7330000000000005,23.0,WIN
Moses Moody,PTS,9.5,UNDER,6.646,-2.854,2.0,WIN
Christian Braun,PTS,11.5,UNDER,8.546,-2.9540000000000006,0.0,WIN
Kevin Durant,PTS,28.5,UNDER,25.504,-2.9959999999999987,23.0,WIN
Anthony Black,PTS,19.5,UNDER,16.344,-3.155999999999999,26.0,LOSS
Andrew Wiggins,PTS,12.5,UNDER,9.297,-3.2029999999999994,23.0,LOSS
Jamal Murray,PTS,26.5,UNDER,22.936,-3.564,0.0,WIN
Derik Queen,PTS,13.5,UNDER,9.924,-3.5760000000000005,10.0,WIN
Noah Clowney,PTS,15.5,UNDER,11.917,-3.583,17.0,LOSS
Karl-Anthony Towns,REB,11.5,UNDER,7.746,-3.754,11.0,WIN
Anthony Edwards,PTS,28.5,UNDER,24.453,-4.047000000000001,23.0,WIN
Giannis Antetokounmpo,PTS,29.5,UNDER,25.388,-4.111999999999998,31.0,LOSS
OG Anunoby,PTS,15.5,UNDER,11.212,-4.288,24.0,LOSS
Zion Williamson,PTS,23.5,UNDER,18.822,-4.678000000000001,22.0,WIN
Devin Booker,PTS,27.5,UNDER,22.796,-4.704000000000001,17.0,WIN
Aaron Gordon,PTS,17.5,UNDER,11.81,-5.6899999999999995,23.0,LOSS
Jalen Brunson,PTS,28.5,UNDER,21.149,-7.350999999999999,26.0,WIN
Alperen Sengun,PTS,20.0,UNDER,12.181,-7.819000000000001,19.0,WIN
Cam Thomas,PTS,19.5,UNDER,11.48,-8.02,9.0,WIN
Shai Gilgeous-Alexander,PTS,30.5,UNDER,20.213,-10.287,29.0,WIN
Brandon Ingram,PTS,23.5,UNDER,12.245,-11.255,0.0,WIN
