player,prop,book_line,model_prediction,confidence_pct,edge,direction,run_date,run_timestamp
Ausar Thompson,REB,5.5,4.733,8000.0,-0.7670000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Dylan Harper,PTS,8.5,7.732,8200.0,-0.7679999999999998,UNDER,2026-01-10,2026-01-10 23:19:05
Miles Bridges,PTS,18.5,17.683,8300.0,-0.8170000000000002,UNDER,2026-01-10,2026-01-10 23:19:05
Cade Cunningham,REB,5.5,4.644,7500.0,-0.8559999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Keyonte George,REB,4.0,3.058,6500.0,-0.9420000000000002,UNDER,2026-01-10,2026-01-10 23:19:05
Julius Randle,REB,7.5,6.524,7200.0,-0.976,UNDER,2026-01-10,2026-01-10 23:19:05
Jay Huff,REB,4.5,3.494,4800.0,-1.0059999999999998,UNDER,2026-01-10,2026-01-10 23:19:05
Harrison Barnes,PTS,9.5,8.448,5800.0,-1.0519999999999996,UNDER,2026-01-10,2026-01-10 23:19:05
Donte DiVincenzo,AST,4.0,2.902,7100.0,-1.098,UNDER,2026-01-10,2026-01-10 23:19:05
Payton Pritchard,PTS,16.5,15.361,8900.0,-1.1389999999999991,UNDER,2026-01-10,2026-01-10 23:19:05
Julius Randle,AST,5.5,4.247,7200.0,-1.253,UNDER,2026-01-10,2026-01-10 23:19:05
De'Aaron Fox,PTS,19.5,18.184,8200.0,-1.315999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Tyler Herro,AST,3.5,2.07,3500.0,-1.4300000000000002,UNDER,2026-01-10,2026-01-10 23:19:05
Rudy Gobert,REB,12.0,10.549,8300.0,-1.4510000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Bam Adebayo,PTS,16.5,14.991,7900.0,-1.5090000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Cade Cunningham,PTS,27.5,25.939,7500.0,-1.561,UNDER,2026-01-10,2026-01-10 23:19:05
Stephon Castle,AST,6.5,4.935,6700.0,-1.5650000000000004,UNDER,2026-01-10,2026-01-10 23:19:05
Ivica Zubac,REB,9.5,7.906,6700.0,-1.5940000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Andrew Nembhard,AST,7.5,5.82,8300.0,-1.6799999999999995,UNDER,2026-01-10,2026-01-10 23:19:05
James Harden,AST,7.5,5.768,8200.0,-1.7320000000000002,UNDER,2026-01-10,2026-01-10 23:19:05
Paul Reed,PTS,9.5,7.666,6100.0,-1.8339999999999996,UNDER,2026-01-10,2026-01-10 23:19:05
De'Aaron Fox,AST,6.0,4.111,8200.0,-1.889,UNDER,2026-01-10,2026-01-10 23:19:05
Isaiah Collier,AST,7.0,5.105,5300.0,-1.8949999999999996,UNDER,2026-01-10,2026-01-10 23:19:05
Ivica Zubac,PTS,12.5,10.603,6700.0,-1.897,UNDER,2026-01-10,2026-01-10 23:19:05
Brice Sensabaugh,PTS,14.5,12.453,6700.0,-2.0470000000000006,UNDER,2026-01-10,2026-01-10 23:19:05
Coby White,AST,4.0,1.883,3500.0,-2.117,UNDER,2026-01-10,2026-01-10 23:19:05
Keldon Johnson,PTS,11.5,9.342,8400.0,-2.1579999999999995,UNDER,2026-01-10,2026-01-10 23:19:05
Kawhi Leonard,PTS,26.5,24.24,8400.0,-2.2600000000000016,UNDER,2026-01-10,2026-01-10 23:19:05
Collin Sexton,PTS,14.5,12.231,9000.0,-2.269,UNDER,2026-01-10,2026-01-10 23:19:05
Stephon Castle,PTS,17.5,15.211,6700.0,-2.2889999999999997,UNDER,2026-01-10,2026-01-10 23:19:05
Evan Mobley,REB,8.0,5.515,8800.0,-2.4850000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Jaden McDaniels,PTS,14.0,11.485,5400.0,-2.515000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
Andrew Wiggins,PTS,14.0,10.999,9500.0,-3.000999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Julius Randle,PTS,21.0,17.959,7200.0,-3.0410000000000004,UNDER,2026-01-10,2026-01-10 23:19:05
Kon Knueppel,PTS,18.5,15.249,8200.0,-3.250999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
LaMelo Ball,PTS,18.5,15.184,9500.0,-3.3160000000000007,UNDER,2026-01-10,2026-01-10 23:19:05
LaMelo Ball,AST,8.0,4.68,9500.0,-3.3200000000000003,UNDER,2026-01-10,2026-01-10 23:19:05
Isaiah Stewart,PTS,13.5,10.145,8500.0,-3.3550000000000004,UNDER,2026-01-10,2026-01-10 23:19:05
Pascal Siakam,PTS,25.0,21.601,9200.0,-3.399000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
Donte DiVincenzo,PTS,13.5,10.081,7100.0,-3.4190000000000005,UNDER,2026-01-10,2026-01-10 23:19:05
Isaiah Collier,PTS,10.5,7.036,5300.0,-3.4640000000000004,UNDER,2026-01-10,2026-01-10 23:19:05
Jaylen Brown,PTS,28.5,24.925,9500.0,-3.5749999999999993,UNDER,2026-01-10,2026-01-10 23:19:05
Evan Mobley,PTS,17.5,13.901,8800.0,-3.599,UNDER,2026-01-10,2026-01-10 23:19:05
Donovan Mitchell,PTS,29.5,25.9,9300.0,-3.6000000000000014,UNDER,2026-01-10,2026-01-10 23:19:05
Ausar Thompson,PTS,12.5,8.697,8000.0,-3.803000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
Aaron Nesmith,PTS,16.5,12.459,9300.0,-4.041,UNDER,2026-01-10,2026-01-10 23:19:05
Naji Marshall,PTS,16.5,12.369,9000.0,-4.131,UNDER,2026-01-10,2026-01-10 23:19:05
Taylor Hendricks,PTS,7.5,2.755,7600.0,-4.745,UNDER,2026-01-10,2026-01-10 23:19:05
Tyler Herro,PTS,20.5,15.316,3500.0,-5.183999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Klay Thompson,PTS,14.5,9.274,7900.0,-5.226000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
James Harden,PTS,23.5,17.657,8200.0,-5.843,UNDER,2026-01-10,2026-01-10 23:19:05
Keyonte George,PTS,27.5,20.744,6500.0,-6.756,UNDER,2026-01-10,2026-01-10 23:19:05
Cooper Flagg,PTS,23.5,15.683,9300.0,-7.817,UNDER,2026-01-10,2026-01-10 23:19:05
Kyle Filipowski,PTS,13.5,5.197,3800.0,-8.303,UNDER,2026-01-10,2026-01-10 23:19:05
Brandon Miller,PTS,20.5,12.003,7200.0,-8.497,UNDER,2026-01-10,2026-01-10 23:19:05
Coby White,PTS,17.0,7.177,3500.0,-9.823,UNDER,2026-01-10,2026-01-10 23:19:05
