player,prop,book_line,model_prediction,edge,direction,source,run_date,run_timestamp
VJ Edgecombe,PTS,15.5,14.781,-0.7189999999999994,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
De'Aaron Fox,PTS,19.5,18.7,-0.8000000000000007,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Goga Bitadze,PTS,5.5,4.569,-0.931,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Quinten Post,PTS,7.5,6.539,-0.9610000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Mikal Bridges,PTS,14.5,13.517,-0.9830000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Devin Booker,REB,3.5,2.513,-0.987,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Grayson Allen,PTS,13.0,11.951,-1.0489999999999997,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dillon Brooks,PTS,19.5,18.417,-1.0829999999999984,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Quinten Post,REB,3.5,2.415,-1.085,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jalen Johnson,PTS,22.5,21.361,-1.1389999999999991,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Julius Randle,AST,5.5,4.361,-1.1390000000000002,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Scottie Barnes,AST,5.5,4.299,-1.2009999999999996,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Santi Aldama,PTS,14.5,13.273,-1.2270000000000003,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Stephon Castle,PTS,15.5,14.25,-1.25,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jimmy Butler,REB,5.5,4.04,-1.46,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Collin Gillespie,AST,4.5,3.004,-1.496,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Justin Champagnie,REB,6.5,4.986,-1.5140000000000002,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Deni Avdija,PTS,27.5,25.909,-1.591000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Tyrese Maxey,AST,7.0,5.356,-1.644,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jalen Brunson,AST,6.5,4.841,-1.6589999999999998,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Tyler Herro,PTS,19.5,17.791,-1.7089999999999996,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jaden McDaniels,PTS,14.5,12.768,-1.731999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Amen Thompson,PTS,20.0,18.163,-1.8369999999999995,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Steven Adams,REB,9.5,7.603,-1.897,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Shai Gilgeous-Alexander,REB,4.5,2.591,-1.909,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Alperen Sengun,REB,8.5,6.59,-1.91,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Tre Johnson,PTS,12.5,10.531,-1.9689999999999992,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Chet Holmgren,PTS,17.5,15.52,-1.9800000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Desmond Bane,PTS,20.0,18.01,-1.9899999999999984,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Karl-Anthony Towns,PTS,20.5,18.438,-2.062000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jordan Poole,PTS,11.5,9.35,-2.1500000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
De'Anthony Melton,PTS,11.0,8.761,-2.2390000000000008,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Brandin Podziemski,PTS,10.0,7.758,-2.242,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bam Adebayo,PTS,13.5,11.164,-2.3360000000000003,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Cam Spencer,PTS,13.5,11.135,-2.365,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Reed Sheppard,PTS,13.5,11.042,-2.458,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Victor Wembanyama,PTS,20.5,18.024,-2.475999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Norman Powell,PTS,20.5,18.007,-2.4929999999999986,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Spencer Jones,PTS,7.5,4.925,-2.575,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Paolo Banchero,PTS,23.5,20.767,-2.7330000000000005,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Moses Moody,PTS,9.5,6.646,-2.854,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Christian Braun,PTS,11.5,8.546,-2.9540000000000006,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Kevin Durant,PTS,28.5,25.504,-2.9959999999999987,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Anthony Black,PTS,19.5,16.344,-3.155999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Andrew Wiggins,PTS,12.5,9.297,-3.2029999999999994,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jamal Murray,PTS,26.5,22.936,-3.564,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Derik Queen,PTS,13.5,9.924,-3.5760000000000005,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Noah Clowney,PTS,15.5,11.917,-3.583,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Karl-Anthony Towns,REB,11.5,7.746,-3.754,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Anthony Edwards,PTS,28.5,24.453,-4.047000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Giannis Antetokounmpo,PTS,29.5,25.388,-4.111999999999998,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
OG Anunoby,PTS,15.5,11.212,-4.288,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Zion Williamson,PTS,23.5,18.822,-4.678000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Devin Booker,PTS,27.5,22.796,-4.704000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Aaron Gordon,PTS,17.5,11.81,-5.6899999999999995,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jalen Brunson,PTS,28.5,21.149,-7.350999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Alperen Sengun,PTS,20.0,12.181,-7.819000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Cam Thomas,PTS,19.5,11.48,-8.02,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Shai Gilgeous-Alexander,PTS,30.5,20.213,-10.287,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Brandon Ingram,PTS,23.5,12.245,-11.255,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
