player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Jeremiah Fears,PA,16.5,18.126,1.6260000000000012,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jake LaRavia,TO,1.5,3.126,1.626,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Marcus Smart,REB,3.5,5.073,1.5730000000000004,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Stephen Curry,AST,4.5,6.072,1.572,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Harrison Barnes,PRA,15.5,17.058,1.5579999999999998,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Spencer Jones,PTS,8.0,9.531,1.5310000000000006,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jalen Pickett,REB,4.0,5.511,1.511,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jalen Smith,RA,8.5,10.009,1.5090000000000003,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jalen Pickett,PR,15.0,16.493,1.4929999999999986,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jamal Murray,AST,9.0,10.488,1.4879999999999995,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Zeke Nnaji,PR,13.5,14.974,1.4740000000000002,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Moses Moody,TO,0.5,1.961,1.461,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Peyton Watson,RA,9.5,10.956,1.4559999999999995,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Durant,REB,5.0,6.44,1.4400000000000004,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Isaac Okoro,PA,9.5,10.923,1.423,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Quinten Post,PTS,7.5,8.896,1.3960000000000008,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Derik Queen,AST,4.5,5.888,1.388,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Donovan Clingan,TO,1.5,2.882,1.382,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Norman Powell,PR,23.5,24.872,1.372,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Luke Kornet,REB,6.0,7.36,1.3600000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
