game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-10,Ausar Thompson,REB,4.733,5.5,0,-0.7670000000000003,3.0,False,False,False,False,False,False,True,False,False
2026-01-10,Dylan Harper,PTS,7.732,8.5,0,-0.7679999999999998,5.0,False,False,False,False,True,False,False,False,False
2026-01-10,Miles Bridges,PTS,17.683,18.5,0,-0.8170000000000002,15.0,False,False,False,False,True,False,False,False,False
2026-01-10,Cade Cunningham,REB,4.644,5.5,0,-0.8559999999999999,0.0,False,False,False,False,False,False,True,False,False
2026-01-10,Keyonte George,REB,3.058,4.0,0,-0.9420000000000002,2.0,False,False,False,False,False,False,True,False,False
2026-01-10,Julius Randle,REB,6.524,7.5,0,-0.976,4.0,False,False,False,False,False,False,True,False,False
2026-01-10,Jay Huff,REB,3.494,4.5,0,-1.0059999999999998,2.0,False,False,False,False,False,False,True,False,False
2026-01-10,Harrison Barnes,PTS,8.448,9.5,0,-1.0519999999999996,6.0,False,False,False,False,True,False,False,False,False
2026-01-10,Donte DiVincenzo,AST,2.902,4.0,0,-1.098,6.0,True,False,False,False,False,False,False,False,False
2026-01-10,Payton Pritchard,PTS,15.361,16.5,0,-1.1389999999999991,4.0,False,False,False,False,True,False,False,False,False
2026-01-10,Julius Randle,AST,4.247,5.5,0,-1.253,4.0,True,False,False,False,False,False,False,False,False
2026-01-10,De'Aaron Fox,PTS,18.184,19.5,0,-1.315999999999999,21.0,False,False,False,False,True,False,False,False,False
2026-01-10,Tyler Herro,AST,2.07,3.5,0,-1.4300000000000002,4.0,True,False,False,False,False,False,False,False,False
2026-01-10,Rudy Gobert,REB,10.549,12.0,0,-1.4510000000000003,12.0,False,False,False,False,False,False,True,False,False
2026-01-10,Bam Adebayo,PTS,14.991,16.5,0,-1.5090000000000003,13.0,False,False,False,False,True,False,False,False,False
2026-01-10,Cade Cunningham,PTS,25.939,27.5,0,-1.561,0.0,False,False,False,False,True,False,False,False,False
2026-01-10,Stephon Castle,AST,4.935,6.5,0,-1.5650000000000004,5.0,True,False,False,False,False,False,False,False,False
2026-01-10,Ivica Zubac,REB,7.906,9.5,0,-1.5940000000000003,6.0,False,False,False,False,False,False,True,False,False
2026-01-10,Andrew Nembhard,AST,5.82,7.5,0,-1.6799999999999995,9.0,True,False,False,False,False,False,False,False,False
2026-01-10,James Harden,AST,5.768,7.5,0,-1.7320000000000002,7.0,True,False,False,False,False,False,False,False,False
2026-01-10,Paul Reed,PTS,7.666,9.5,0,-1.8339999999999996,8.0,False,False,False,False,True,False,False,False,False
2026-01-10,De'Aaron Fox,AST,4.111,6.0,0,-1.889,6.0,True,False,False,False,False,False,False,False,False
2026-01-10,Isaiah Collier,AST,5.105,7.0,0,-1.8949999999999996,9.0,True,False,False,False,False,False,False,False,False
2026-01-10,Ivica Zubac,PTS,10.603,12.5,0,-1.897,17.0,False,False,False,False,True,False,False,False,False
2026-01-10,Brice Sensabaugh,PTS,12.453,14.5,0,-2.0470000000000006,26.0,False,False,False,False,True,False,False,False,False
2026-01-10,Coby White,AST,1.883,4.0,0,-2.117,3.0,True,False,False,False,False,False,False,False,False
2026-01-10,Keldon Johnson,PTS,9.342,11.5,0,-2.1579999999999995,18.0,False,False,False,False,True,False,False,False,False
2026-01-10,Kawhi Leonard,PTS,24.24,26.5,0,-2.2600000000000016,26.0,False,False,False,False,True,False,False,False,False
2026-01-10,Collin Sexton,PTS,12.231,14.5,0,-2.269,15.0,False,False,False,False,True,False,False,False,False
2026-01-10,Stephon Castle,PTS,15.211,17.5,0,-2.2889999999999997,9.0,False,False,False,False,True,False,False,False,False
2026-01-10,Evan Mobley,REB,5.515,8.0,0,-2.4850000000000003,4.0,False,False,False,False,False,False,True,False,False
2026-01-10,Jaden McDaniels,PTS,11.485,14.0,0,-2.515000000000001,12.0,False,False,False,False,True,False,False,False,False
2026-01-10,Andrew Wiggins,PTS,10.999,14.0,0,-3.000999999999999,11.0,False,False,False,False,True,False,False,False,False
2026-01-10,Julius Randle,PTS,17.959,21.0,0,-3.0410000000000004,22.0,False,False,False,False,True,False,False,False,False
2026-01-10,Kon Knueppel,PTS,15.249,18.5,0,-3.250999999999999,12.0,False,False,False,False,True,False,False,False,False
2026-01-10,LaMelo Ball,PTS,15.184,18.5,0,-3.3160000000000007,17.0,False,False,False,False,True,False,False,False,False
2026-01-10,LaMelo Ball,AST,4.68,8.0,0,-3.3200000000000003,5.0,True,False,False,False,False,False,False,False,False
2026-01-10,Isaiah Stewart,PTS,10.145,13.5,0,-3.3550000000000004,0.0,False,False,False,False,True,False,False,False,False
2026-01-10,Pascal Siakam,PTS,21.601,25.0,0,-3.399000000000001,11.0,False,False,False,False,True,False,False,False,False
2026-01-10,Donte DiVincenzo,PTS,10.081,13.5,0,-3.4190000000000005,15.0,False,False,False,False,True,False,False,False,False
2026-01-10,Isaiah Collier,PTS,7.036,10.5,0,-3.4640000000000004,17.0,False,False,False,False,True,False,False,False,False
2026-01-10,Jaylen Brown,PTS,24.925,28.5,0,-3.5749999999999993,27.0,False,False,False,False,True,False,False,False,False
2026-01-10,Evan Mobley,PTS,13.901,17.5,0,-3.599,24.0,False,False,False,False,True,False,False,False,False
2026-01-10,Donovan Mitchell,PTS,25.9,29.5,0,-3.6000000000000014,28.0,False,False,False,False,True,False,False,False,False
2026-01-10,Ausar Thompson,PTS,8.697,12.5,0,-3.803000000000001,6.0,False,False,False,False,True,False,False,False,False
2026-01-10,Aaron Nesmith,PTS,12.459,16.5,0,-4.041,12.0,False,False,False,False,True,False,False,False,False
2026-01-10,Naji Marshall,PTS,12.369,16.5,0,-4.131,14.0,False,False,False,False,True,False,False,False,False
