player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Jrue Holiday,PR,14.5,20.818,6.318000000000001,OVER,PrizePicks,combo,PR,0.0,13.978840617732203,-0.5211593822677969
Giannis Antetokounmpo,PTS,31.5,28.152,-3.347999999999999,UNDER,PrizePicks,standard,PTS,0.0,30.95878496749423,-0.5412150325057716
Keldon Johnson,REB,6.0,5.704,-0.2960000000000002,UNDER,PrizePicks,standard,REB,0.0,5.448127073297359,-0.5518729267026412
Nickeil Alexander-Walker,REB,3.5,4.494,0.9939999999999998,OVER,PrizePicks,standard,REB,0.0,2.8917356857397456,-0.6082643142602544
Stephen Curry,RA,8.5,9.793,1.2929999999999993,OVER,PrizePicks,combo,RA,0.0,7.885359992724239,-0.614640007275761
Al Horford,REB,4.0,6.256,2.256,OVER,PrizePicks,standard,REB,0.0,3.3847034629948283,-0.6152965370051717
Dyson Daniels,PA,19.5,22.896,3.396000000000001,OVER,PrizePicks,combo,PA,0.0,18.87578698468603,-0.6242130153139698
Matas Buzelis,REB,5.0,5.59,0.5899999999999999,OVER,PrizePicks,standard,REB,0.0,4.370207341455136,-0.6297926585448641
Royce O'Neale,RA,8.0,8.342,0.3420000000000005,OVER,PrizePicks,combo,RA,0.0,7.3636451363296915,-0.6363548636703085
Giannis Antetokounmpo,REB,11.0,8.28,-2.7200000000000006,UNDER,PrizePicks,standard,REB,0.0,10.353212323261939,-0.6467876767380609
Kevin Huerter,AST,2.5,3.273,0.7730000000000001,OVER,PrizePicks,standard,AST,0.0,1.8503022869062078,-0.6496977130937922
Tre Jones,TO,1.5,2.517,1.017,OVER,PrizePicks,standard,TO,0.0,0.7884841444958376,-0.7115158555041624
Reed Sheppard,REB,2.5,2.631,0.1309999999999997,OVER,PrizePicks,standard,REB,0.0,1.779277668523779,-0.720722331476221
Derik Queen,TO,2.5,2.616,0.1160000000000001,OVER,PrizePicks,standard,TO,0.0,1.779277668523779,-0.720722331476221
Zeke Nnaji,PTS,8.5,9.831,1.3309999999999995,OVER,PrizePicks,standard,PTS,0.0,7.7769240803934805,-0.7230759196065195
Jordan Goodwin,PTS,8.5,9.833,1.3330000000000002,OVER,PrizePicks,standard,PTS,0.0,7.7769240803934805,-0.7230759196065195
Jamal Murray,TO,2.5,3.45,0.9500000000000002,OVER,PrizePicks,standard,TO,0.0,1.7652003135654624,-0.7347996864345376
Kel'el Ware,REB,7.5,6.661,-0.8390000000000004,UNDER,PrizePicks,standard,REB,0.0,6.724384425610605,-0.7756155743893949
Myles Turner,PTS,10.5,9.702,-0.798,UNDER,PrizePicks,standard,PTS,0.0,9.694495407546095,-0.8055045924539055
Jalen Johnson,TO,3.5,3.296,-0.2040000000000001,UNDER,PrizePicks,standard,TO,0.0,2.689569538712279,-0.8104304612877211
Tyler Herro,REB,5.0,5.336,0.3360000000000003,OVER,PrizePicks,standard,REB,0.0,4.186466715935196,-0.8135332840648042
Ryan Rollins,REB,5.0,5.336,0.3360000000000003,OVER,PrizePicks,standard,REB,0.0,4.186466715935196,-0.8135332840648042
